0 1024 0
1 1032 219
2 993 441
3 906 657
4 772 856
5 594 1028
6 378 1163
7 131 1253
8 -137 1290
9 -415 1270
10 -691 1191
11 -952 1052
12 -1185 856
13 -1378 608
14 -1519 317
15 -1599 -6
16 -1610 -349
17 -1548 -697
18 -1411 -1034
19 -1200 -1344
20 -921 -1611
21 -583 -1820
22 -198 -1958
23 219 -2014
24 651 -1981
25 1079 -1855
26 1482 -1637
27 1841 -1331
28 2137 -946
29 2352 -495
30 2472 4
31 2485 532
32 2385 1066
33 2170 1581
34 1843 2053
35 1413 2457
36 895 2771
37 307 2975
38 -327 3054
39 -981 2997
40 -1625 2800
41 -2229 2464
42 -2763 1997
43 -3199 1414
44 -3511 736
45 -3678 -11
46 -3685 -795
47 -3524 -1582
48 -3194 -2336
49 -2702 -3020
50 -2063 -3599
51 -1300 -4041
52 -442 -4320
53 476 -4415
54 1413 -4313
55 2327 -4010
56 3175 -3512
57 3915 -2833
58 4508 -1997
59 4920 -1037
60 5125 8
61 5106 1093
62 4855 2170
63 4375 3188
64 3680 4098
65 2794 4855
66 1752 5418
67 596 5755
68 -624 5843
69 -1853 5670
70 -3036 5236
71 -4116 4553
72 -5041 3647
73 -5765 2552
74 -6248 1314
75 -6463 -14
76 -6394 -1374
77 -6037 -2704
78 -5401 -3943
79 -4510 -5032
80 -3399 -5918
81 -2115 -6558
82 -712 -6917
83 747 -6975
84 2198 -6723
85 3575 -6168
86 4815 -5330
87 5859 -4243
88 6658 -2953
89 7172 -1515
90 7375 9
91 7254 1551
92 6810 3042
93 6060 4414
94 5035 5605
95 3777 6560
96 2341 7234
97 789 7595
98 -811 7623
99 -2388 7315
100 -3871 6682
101 -5194 5751
102 -6297 4560
103 -7130 3160
104 -7654 1613
105 -7844 -14
106 -7690 -1649
107 -7197 -3220
108 -6385 -4657
109 -5289 -5896
110 -3956 -6881
111 -2444 -7568
112 -819 -7925
113 847 -7936
114 2482 -7599
115 4013 -6927
116 5372 -5950
117 6499 -4710
118 7345 -3260
119 7871 -1664
120 8053 8
121 7883 1683
122 7367 3288
123 6528 4752
124 5402 6010
125 4037 7007
126 2493 7699
127 838 8054
128 -856 8057
129 -2514 7707
130 -4064 7020
131 -5438 6025
132 -6576 4765
133 -7427 3295
134 -7954 1679
135 -8133 -12
136 -7956 -1704
137 -7431 -3322
138 -6581 -4796
139 -5442 -6062
140 -4065 -7064
141 -2509 -7757
142 -842 -8112
143 863 -8112
144 2531 -7757
145 4089 -7063
146 5468 -6060
147 6609 -4792
148 7462 -3314
149 7989 -1691
150 8167 6
151 7988 1703
152 7460 3326
153 6606 4804
154 5463 6073
155 4081 7077
156 2520 7771
157 849 8126
158 -859 8125
159 -2530 7769
160 -4091 7074
161 -5473 6069
162 -6616 4799
163 -7470 3319
164 -7998 1693
165 -8176 -7
166 -7997 -1707
167 -7468 -3333
168 -6613 -4814
169 -5468 -6084
170 -4084 -7089
171 -2522 -7784
172 -849 -8139
173 861 -8138
174 2534 -7782
175 4096 -7086
176 5479 -6080
177 6623 -4809
178 7478 -3328
179 8006 -1701
180 8184 0
181 8005 1701
182 7476 3328
183 6620 4809
184 5475 6080
185 4091 7085
186 2528 7780
187 855 8136
188 -856 8136
189 -2529 7780
190 -4092 7084
191 -5476 6078
192 -6621 4806
193 -7476 3324
194 -8004 1697
195 -8183 -5
196 -8004 -1707
197 -7475 -3334
198 -6619 -4816
199 -5474 -6087
200 -4089 -7092
201 -2526 -7788
202 -852 -8143
203 859 -8143
204 2533 -7787
205 4096 -7091
206 5480 -6085
207 6625 -4813
208 7480 -3331
209 8009 -1704
210 8188 -2
211 8009 1700
212 7480 3327
213 6624 4809
214 5479 6080
215 4095 7086
216 2532 7782
217 858 8138
218 -853 8138
219 -2527 7783
220 -4090 7087
221 -5475 6082
222 -6620 4811
223 -7476 3329
224 -8005 1702
225 -8184 0
226 -8006 -1702
227 -7478 -3330
228 -6623 -4812
229 -5478 -6084
230 -4094 -7090
231 -2531 -7787
232 -857 -8144
233 854 -8144
234 2528 -7789
235 4091 -7094
236 5476 -6089
237 6621 -4818
238 7477 -3337
239 8007 -1710
240 8187 -9
241 8009 1693
242 7482 3321
243 6628 4803
244 5484 6075
245 4101 7082
246 2539 7780
247 866 8138
248 -845 8140
249 -2519 7786
250 -4083 7092
251 -5469 6088
252 -6616 4818
253 -7474 3337
254 -8005 1710
255 -8186 8
256 -8009 -1694
257 -7482 -3322
258 -6628 -4805
259 -5485 -6078
260 -4102 -7086
261 -2540 -7784
262 -867 -8142
263 844 -8145
264 2518 -7792
265 4082 -7099
266 5468 -6096
267 6615 -4826
268 7473 -3346
269 8005 -1720
270 8187 -19
271 8012 1683
272 7487 3311
273 6635 4795
274 5493 6069
275 4111 7078
276 2549 7777
277 876 8137
278 -835 8141
279 -2510 7789
280 -4075 7097
281 -5462 6094
282 -6610 4825
283 -7469 3345
284 -8002 1719
285 -8185 17
286 -8010 -1685
287 -7485 -3314
288 -6633 -4798
289 -5491 -6073
290 -4109 -7082
291 -2547 -7782
292 -874 -8142
293 837 -8146
294 2512 -7794
295 4077 -7102
296 5464 -6100
297 6612 -4831
298 7471 -3351
299 8004 -1725
300 8187 -24
301 8013 1678
302 7489 3307
303 6637 4791
304 5495 6066
305 4113 7076
306 2552 7776
307 879 8136
308 -832 8141
309 -2507 7790
310 -4072 7098
311 -5459 6096
312 -6608 4828
313 -7468 3348
314 -8001 1722
315 -8185 21
316 -8011 -1682
317 -7487 -3311
318 -6636 -4796
319 -5494 -6071
320 -4112 -7081
321 -2550 -7781
322 -877 -8141
323 834 -8146
324 2509 -7795
325 4074 -7103
326 5461 -6101
327 6610 -4833
